l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1200001,29,7,1,10.00,3919.90,0.08,0.09,N,F,2025-12-25,2025-12-26,2025-12-30,DELIVER IN PERSON,SHIP,Keep dry during long-haul shipment.
1200001,3,8,2,10.00,782.50,0.06,0.18,N,F,2025-12-23,2025-12-22,2025-12-29,TAKE BACK RETURN,SHIP,Cross-border paperwork pre-cleared.
1200001,31,10,3,30.00,10412.10,0.08,0.09,N,F,2025-12-23,2025-12-23,2025-12-28,TAKE BACK RETURN,SHIP,Keep dry during long-haul shipment.
1200001,19,12,4,30.00,18973.80,0.12,0.12,R,F,2025-12-28,2025-12-28,2025-12-30,TAKE BACK RETURN,SHIP,Keep dry during long-haul shipment.
1200001,14,10,5,15.00,8048.40,0.05,0.21,N,F,2025-12-25,2025-12-25,2025-12-30,TAKE BACK RETURN,RAIL,Partial release accepted by planning.
1200002,11,9,1,50.00,36354.00,0.01,0.05,N,F,2025-12-09,2025-12-08,2025-12-14,NONE,TRUCK,Late afternoon dock slot requested.
1200002,10,11,2,10.00,2285.10,0.02,0.07,N,F,2025-12-13,2025-12-11,2025-12-19,NONE,TRUCK,Keep dry during long-haul shipment.
1200002,38,8,3,40.00,2469.60,0.06,0.05,N,F,2025-12-13,2025-12-12,2025-12-17,NONE,TRUCK,Customer requested labeled pallets.
1200002,27,5,4,12.00,6405.24,0.02,0.05,R,F,2025-12-10,2025-12-08,2025-12-17,DELIVER IN PERSON,SHIP,Partial release accepted by planning.
1200002,22,5,5,4.00,749.04,0.01,0.12,A,F,2025-12-11,2025-12-12,2025-12-19,DELIVER IN PERSON,TRUCK,"Standard handling, no extra notes."
1200003,2,13,1,30.00,9873.30,0.03,0.05,N,O,2025-12-30,2025-12-30,2026-01-02,NONE,RAIL,Keep dry during long-haul shipment.
1200003,3,8,2,40.00,3130.00,0.03,0.05,N,F,2025-12-21,2025-12-22,2025-12-26,NONE,MAIL,Keep dry during long-haul shipment.
1200003,27,1,3,12.00,6405.24,0.08,0.05,N,O,2025-12-31,2025-12-29,2026-01-02,COLLECT COD,RAIL,"Standard handling, no extra notes."
